mb_2016_code,year,median_price,sales_count,median_price_growth_yoy
11204671200,2008,1577000.0,5,
11204671200,2011,1450000.0,3,-8.05
11204671200,2018,3650000.0,3,151.72
11204673300,2017,2405000.0,3,
11204703900,2005,576500.0,4,
11204703900,2009,1100000.0,3,90.81
11204703900,2011,594500.0,6,-45.95
11204703900,2013,773500.0,6,30.11
11204703900,2018,1195000.0,3,54.49
11204710200,2005,1760000.0,3,
11204710200,2008,877500.0,3,-50.14
11204729300,2004,1190000.0,3,
11204729300,2009,1075000.0,4,-9.66
11204735500,2004,731000.0,3,
11204830300,2004,500000.0,19,
11204830300,2006,385000.0,3,-23.0
11204830300,2014,1100000.0,3,185.71
11204959100,2005,380000.0,3,
11204959100,2013,506000.0,3,33.16
11204959100,2014,860000.0,48,69.96
11204959100,2015,920000.0,8,6.98
11204959100,2016,1057500.0,6,14.95
11204959100,2021,690000.0,3,-34.75
11204999800,2006,895000.0,4,
11205039700,2011,667500.0,16,
11205039700,2012,690000.0,35,3.37
11205039700,2013,785000.0,13,13.77
11205039700,2023,900000.0,3,14.65
11205048900,2010,987500.0,12,
11205049000,2010,700000.0,8,
11205049000,2011,705000.0,3,0.71
11205146500,2003,860000.0,3,
11205146500,2011,1420000.0,3,65.12
11205163700,2013,887500.0,28,
11205163700,2014,900000.0,5,1.41
11205163700,2015,1055000.0,46,17.22
11205163700,2016,1230000.0,3,16.59
11205163700,2017,875000.0,25,-28.86
11205163700,2018,1168000.0,7,33.49
11205163700,2021,1349000.0,6,15.5
11205163700,2022,1065000.0,3,-21.05
11205163700,2023,1100000.0,5,3.29
11205358500,2003,11860000.0,8,
11205358500,2006,1400000.0,7,-88.2
11205358500,2009,1405000.0,3,0.36
11205359500,2019,1325000.0,5,
11205359500,2021,2750000.0,4,107.55
11205359600,2016,1165000.0,4,
11205359800,2005,1185000.0,3,
11205359800,2012,1720000.0,3,45.15
11205359900,2004,990000.0,3,
11205367600,2005,467500.0,4,
11205367600,2006,480000.0,11,2.67
11205367600,2007,760000.0,9,58.33
11205367600,2009,365000.0,4,-51.97
11205367600,2010,420000.0,5,15.07
11205367800,2013,1800000.0,4,
11205367800,2014,875000.0,4,-51.39
11205367900,2006,10000000.0,4,
11205367900,2014,13365000.0,4,33.65
11205370100,2005,740000.0,3,
11205661900,2010,2200000.0,3,
11205667000,2003,1000000.0,3,
11205667000,2004,127000.0,3,-87.3
11205667000,2005,940000.0,4,640.16
11205667000,2006,665000.0,3,-29.26
11205667000,2013,440000.0,4,-33.83
11205682100,2010,1737500.0,4,
11205682100,2016,1910000.0,3,9.93
11205683400,2006,340000.0,6,
11205697200,2006,402000.0,3,
11205697200,2008,450000.0,3,11.94
11205697200,2018,1050000.0,3,133.33
11205763400,2009,807500.0,4,
11205765400,2011,2350000.0,3,
11205766200,2012,623900.0,4,
11205803000,2009,1200000.0,4,
11205803000,2014,2830000.0,3,135.83
11209190000,2004,482000.0,3,
11209190000,2007,565000.0,3,17.22
11209190000,2008,482500.0,6,-14.6
11209190000,2011,607000.0,3,25.8
11209190000,2013,705000.0,7,16.14
11209190000,2021,1100000.0,3,56.03
